job_id,name,callable,trigger
ce_alert,A-1: CE Aging Alert,automations.run_ce_alert,"CronTrigger(hour=7, minute=0)"
ce_to_pco,A-2: CE→PCO Sweep,automations.run_ce_to_pco_sweep,IntervalTrigger(hours=2)
submittal_sla,A-3: Submittal SLA Alert,automations.run_submittal_sla,"CronTrigger(hour=7, minute=15)"
morning_briefing,A-4: Morning Field Briefing,automations.run_morning_briefing,"CronTrigger(hour=6, minute=30, day_of_week=""mon-fri"")"
lien_waiver,Invoice & Lien Waiver Check,automations.run_lien_waiver_check,"CronTrigger(day=18, hour=7, minute=0)"
ce_sweep,CE Sweep Report (Thursday),automations.run_ce_sweep,"CronTrigger(day_of_week=""thu"", hour=8, minute=45)"
procore_sync,Procore Data Sync (Daily Backup),automations.run_procore_sync,"CronTrigger(hour=23, minute=0)"
reverse_sync_batch,Reverse Sync Rex→Procore (Daily 6PM),_run_reverse_sync_batch,"CronTrigger(hour=18, minute=0)"
email_watcher,Email Watcher (Task CSV),automations.run_email_watcher,IntervalTrigger(minutes=15)
budget_variance_refresh,Budget Variance Refresh,automations.run_budget_variance_refresh,"CronTrigger(hour=5, minute=0)"
scorecard_metric_refresh,C.1: Nightly Scorecard Metric Refresh,lambda: integration.refresh_scorecard_metrics(commit=True),"CronTrigger(hour=2, minute=0)"
submittal_schedule_sync,Phase 5 B.4: Submittal ↔ Schedule Sync,lambda: integration.sync_submittal_schedule(),"CronTrigger(hour=2, minute=30)"
inspection_schedule_link,Phase 5: Inspection ↔ Schedule Link,lambda: integration.link_inspections_to_schedule(),"CronTrigger(hour=2, minute=45)"
alert_check,C.2: Nightly Alert Check,automations.run_nightly_alert_check,"CronTrigger(hour=3, minute=0)"
nightly_scorecard_calc,C.3: Nightly Scorecard Metrics Calc,automations.run_nightly_scorecard_calc,"CronTrigger(hour=2, minute=5)"
nightly_cache_prewarm,C.4: Nightly Panel Cache Pre-warm,automations.run_nightly_cache_prewarm,"CronTrigger(hour=4, minute=0)"
daily_alert_digest,C.5: Daily Alert Digest Email,automations.run_daily_alert_digest,"CronTrigger(hour=6, minute=30, day_of_week=""mon-fri"")"
weekly_summary,C.6: Weekly Scorecard Summary Email,automations.run_weekly_summary,"CronTrigger(day_of_week=""mon"", hour=7, minute=0)"
webhook_retry,S9: Webhook Retry Sweep,_retry_webhooks,IntervalTrigger(minutes=5)
portfolio_snapshot,A-38: Nightly Portfolio Snapshot,automations.run_portfolio_snapshot,"CronTrigger(hour=23, minute=0)"
myday_briefings,A-43: My Day Email Briefings,automations.run_myday_briefings,"CronTrigger(hour=6, minute=30, day_of_week=""mon-fri"")"
delay_detection,A-54: Daily Delay Event Detection,automations.run_delay_detection,"CronTrigger(hour=4, minute=30)"
delay_report,A-55: Weekly Delay Report Digest,automations.run_delay_report,"CronTrigger(day_of_week=""mon"", hour=7, minute=30)"
smart_digests,A-65: Smart Notification Digests,automations.run_smart_digests,"CronTrigger(hour=6, minute=15)"
rfi_drafts,A-67: RFI Auto-Drafter,automations.run_rfi_drafts,"CronTrigger(hour=7, minute=0)"
daily_narratives,A-68: Daily Narrative Generation,automations.run_daily_narratives,"CronTrigger(hour=6, minute=0)"
compliance_scans,A-69: Daily Compliance Scan,automations.run_compliance_scans,"CronTrigger(hour=7, minute=30)"
permit_gap_detection,A-71: Permit Gap Detection,automations.run_permit_gap_detection,"CronTrigger(hour=8, minute=0, day_of_week=""mon-fri"")"
delivery_risk_check,A-72: Material Delivery Risk Check,automations.run_delivery_risk_check,"CronTrigger(hour=8, minute=15)"
leaderboard_calculation,A-73: Weekly Leaderboard Calculation,automations.run_leaderboard_calculation,"CronTrigger(day_of_week=""mon"", hour=7, minute=45)"
warranty_expiration,A-47: Warranty Expiration Monitor,automations.run_warranty_expiration_check,"CronTrigger(day_of_week=""mon"", hour=8, minute=0)"
closeout_digest,A-48: Closeout Progress Digest,automations.run_closeout_digest,"CronTrigger(day_of_week=""fri"", hour=15, minute=0)"
schedule_auto_match,A-22: Schedule-Commitment Auto-Match,automations.run_schedule_commitment_auto_match,"CronTrigger(day_of_week=""mon"", hour=5, minute=0)"
procurement_gap_alert,A-23: Procurement Gap Alert,automations.run_procurement_gap_alert,"CronTrigger(hour=6, minute=0)"
schedule_billing_anomaly,A-24: Schedule vs Billing Anomaly,automations.run_schedule_billing_anomaly,"CronTrigger(day_of_week=""fri"", hour=7, minute=0)"
daily_log_schedule_verify,A-25: Daily Log Schedule Verify,automations.run_daily_log_schedule_verify,"CronTrigger(hour=16, minute=0)"
milestone_closeout_risk,A-26: Milestone Closeout Risk Monitor,automations.run_milestone_closeout_risk,"CronTrigger(hour=6, minute=30)"
weather_forecast_refresh,A-44: Weather Forecast Refresh,automations.run_weather_forecast_refresh,"CronTrigger(hour=23, minute=30)"
sub_weekly_status_emails,A-45: Sub Weekly Status Emails,automations.run_sub_weekly_status_emails,"CronTrigger(day_of_week=""fri"", hour=8, minute=0)"
photo_intelligence_scan,A-46: Photo Intelligence Scan,automations.run_photo_intelligence_scan,"CronTrigger(hour=0, minute=30)"
