id,category,label,description,params
C-1,FINANCIALS,Budget Variance,Budget vs projected cost by cost code,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}]"
C-10,SCHEDULING,Critical Path Delays,Critical path tasks behind schedule,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}]"
C-104,TRAINING,Training Status,Your Rex University progress and next recommended lesson,[]
C-11,SCHEDULING,2-Week Look-Ahead,Superintendent-ready look-ahead narrative,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}, {""name"": ""START_DATE"", ""type"": ""date"", ""label"": ""Start"", ""default"": ""today""}, {""name"": ""END_DATE"", ""type"": ""date"", ""label"": ""End"", ""default"": ""today+14""}]"
C-12,SCHEDULING,Resource Conflicts,"Cross-project resource overlaps, next 14 days",[]
C-13,DIRECTORY,Project Team Roster,Active users with permission flags,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}]"
C-14,DIRECTORY,Vendor Compliance,Insurance status RED/YELLOW/GREEN,[]
C-15,EXECUTIVE,Monthly Owner Report,Formal monthly owner/lender report,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}, {""name"": ""REPORT_MONTH"", ""type"": ""month"", ""label"": ""Report Month"", ""default"": """"}]"
C-16,PERFORMANCE,Scorecard Preview,Pre-commit scores + payout projections,"[{""name"": ""QUARTER"", ""type"": ""quarter"", ""label"": ""Quarter"", ""default"": """"}, {""name"": ""YEAR"", ""type"": ""year"", ""label"": ""Year"", ""default"": """"}]"
C-17,PERFORMANCE,Milestone Bonus Status,"Bonus pipeline: earned, pending, holdback",[]
C-18,PERFORMANCE,Quarterly Review Prep,Full evidence pack for quarterly review,"[{""name"": ""QUARTER"", ""type"": ""quarter"", ""label"": ""Quarter"", ""default"": """"}, {""name"": ""YEAR"", ""type"": ""year"", ""label"": ""Year"", ""default"": """"}]"
C-19,PROCUREMENT,Buyout & Procurement,Uncommitted scope + long-lead items,"[{""name"": ""PROJECT_NAME"", ""type"": ""project_opt"", ""label"": ""Project (optional)"", ""default"": """"}]"
C-2,FINANCIALS,Change Event Sweep,Open & unpriced CEs across all projects,[]
C-20,PROCUREMENT,Schedule Health Dashboard,Portfolio-wide schedule health,[]
C-21,PROCUREMENT,Inspection Readiness,Upcoming inspections + prerequisite status,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}]"
C-22,OPERATIONS,Morning Briefing,On-demand briefing with all alerts,[]
C-23,OPERATIONS,Weekly Agenda Generator,Role-specific weekly meeting agenda,"[{""name"": ""ROLE"", ""type"": ""role"", ""label"": ""Role"", ""default"": """"}]"
C-24,OPERATIONS,Closeout Readiness,Closeout completeness + blocking items,"[{""name"": ""PROJECT_NAME"", ""type"": ""project"", ""label"": ""Project"", ""default"": """"}]"
C-25,OPERATIONS,Documentation Compliance,Process hygiene gaps + scorecard deductions,[]
C-26,FINANCIAL,Cash Flow Forecast,90-day billing + receivables forecast,[]
C-27,FINANCIAL,Commitment Reconciliation,Subcontract vs billed discrepancies,"[{""name"": ""PROJECT_NAME"", ""type"": ""project_opt"", ""label"": ""Project (optional)"", ""default"": """"}]"
C-28,PROJECT MGMT,Submittal SLA Check,Submittals exceeding internal/A&E review SLA,[]
C-29,PROJECT MGMT,RFI Aging + Overdue,"Open RFIs with age, ball-in-court, cost/sched impact",[]
C-3,FINANCIALS,Invoice & Lien Compliance,G703 + lien waiver compliance,"[{""name"": ""BILLING_DATE"", ""type"": ""date"", ""label"": ""Billing Date"", ""default"": ""billing""}]"
C-30,FINANCIAL,PCO Pipeline Status,Open PCOs — flags 14+ days without linked CO package,[]
C-31,FINANCIAL,Subcontract + PO Execution,Commitment execution status — flags 30+ day delays,[]
C-32,FINANCIAL,Direct Cost vs Budget,Direct cost actuals vs budget by cost code this month,[]
C-33,FINANCIAL,Requisition / Invoice Status,Subcontract pay app status — flags past-due requisitions,[]
C-34,FINANCIAL,Payment App Pipeline,Prime contract owner billing pipeline,[]
C-35,FINANCIAL,Lien Waiver Compliance,Lien waiver status — flags unsigned past payment date,[]
C-36,PROJECT MGMT,Meeting Activity,Meeting frequency — flags projects with no meetings in 30 days,[]
C-37,PROJECT MGMT,Drawing Log Status,Drawing log by discipline — flags stale revisions,[]
C-38,PROJECT MGMT,Inspection Pass/Fail,Inspection results — flags failures and overdue items,[]
C-39,PROJECT MGMT,Meeting Minutes & Action Items,Open action items by project — flags meetings with unresolved items,[]
C-4,FINANCIALS,PCO Summary (30 Days),PCOs created in the last 30 days,[]
